Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                     41512 Console                    1     26,764 K
conhost.exe                  38872 Console                    1        396 K
powershell.exe               19936 Console                    1      3,612 K
conhost.exe                  43960 Console                    1        396 K
powershell.exe               38136 Console                    1      3,620 K
pet.exe                      39212 Console                    1         20 K
conhost.exe                  41404 Console                    1         20 K
codex.exe                    31184 Console                    1     48,832 K
conhost.exe                  32736 Console                    1        920 K
Code.exe                     40936 Console                    1      3,244 K
Code.exe                       288 Console                    1    309,904 K
Code.exe                     30680 Console                    1     19,856 K
conhost.exe                   5452 Console                    1        392 K
powershell.exe               42740 Console                    1      3,388 K
Code.exe                     35552 Console                    1      1,904 K
python.exe                   36656 Console                    1         16 K
conhost.exe                  44020 Console                    1         16 K
python.exe                    1420 Console                    1        360 K
Code.exe                     29236 Console                    1    325,768 K
Code.exe                     42228 Console                    1      1,600 K
Code.exe                     43736 Console                    1      1,720 K
Code.exe                     41860 Console                    1      1,612 K
Code.exe                     42384 Console                    1     11,200 K
cloudcode_cli.exe            41536 Console                    1     45,924 K
conhost.exe                  11440 Console                    1         76 K
Code.exe                     31692 Console                    1      1,372 K
conhost.exe                  43744 Console                    1        520 K
powershell.exe               23452 Console                    1      4,980 K
Code.exe                     37228 Console                    1     20,164 K
Code.exe                     42124 Console                    1    131,172 K
Antigravity.exe              15260 Console                    1    165,052 K
Antigravity.exe              67952 Console                    1      1,560 K
Antigravity.exe              68232 Console                    1      1,180 K
Antigravity.exe              68372 Console                    1      1,612 K
Antigravity.exe              64488 Console                    1      1,672 K
Antigravity.exe              69308 Console                    1      1,680 K
conhost.exe                  68752 Console                    1        280 K
powershell.exe               67916 Console                    1        796 K
language_server_windows_x    69020 Console                    1    305,336 K
conhost.exe                  69400 Console                    1        168 K
conhost.exe                  68880 Console                    1        280 K
powershell.exe               69076 Console                    1        820 K
gk.exe                       68072 Console                    1        364 K
gk.exe                       69460 Console                    1      8,284 K
ChatGPT.exe                  11216 Console                    1    160,368 K
Antigravity.exe             113416 Console                    1    282,628 K
Antigravity.exe             113568 Console                    1    163,876 K
Antigravity.exe             113644 Console                    1     11,180 K
conhost.exe                 112964 Console                    1        284 K
powershell.exe               86464 Console                    1        812 K
conhost.exe                 103716 Console                    1        280 K
powershell.exe              113624 Console                    1        800 K
language_server_windows_x   112780 Console                    1    316,640 K
conhost.exe                 112864 Console                    1        168 K
conhost.exe                 113788 Console                    1        276 K
powershell.exe              114176 Console                    1        804 K
gk.exe                      113792 Console                    1        360 K
gk.exe                      114396 Console                    1      8,448 K
Antigravity.exe             114328 Console                    1      1,188 K
Antigravity.exe             114532 Console                    1      1,588 K
Antigravity.exe             114476 Console                    1      1,776 K
Antigravity.exe             115132 Console                    1      1,548 K
Antigravity.exe             108084 Console                    1      1,784 K
conhost.exe                 113716 Console                    1        280 K
conhost.exe                 112836 Console                    1        276 K
ChatGPT.exe                 118732 Console                    1      2,428 K
git.exe                     202436 Console                    1         12 K
conhost.exe                 202660 Console                    1         12 K
git.exe                     202004 Console                    1         12 K
sh.exe                      202664 Console                    1         16 K
sh.exe                      202648 Console                    1         16 K
sh.exe                      202092 Console                    1         16 K
Code.exe                    202308 Console                    1      1,004 K
conhost.exe                 202000 Console                    1        536 K
powershell.exe              200852 Console                    1      3,552 K
emmylua_ls.exe               29408 Console                    1      1,596 K
conhost.exe                  41692 Console                    1         16 K
Code.exe                     40576 Console                    1      2,240 K
TabNine.exe                  81196 Console                    1      1,792 K
conhost.exe                  81052 Console                    1         72 K
TabNine.exe                  82700 Console                    1      3,812 K
TabNine.exe                  97576 Console                    1      2,792 K
conhost.exe                  97460 Console                    1        136 K
TabNine.exe                  98492 Console                    1      7,704 K
conhost.exe                 122512 Console                    1        532 K
powershell.exe              122612 Console                    1      3,492 K
chrome.exe                   97528 Console                    1      2,364 K
msedgewebview2.exe          189320 Console                    1      2,212 K
Code.exe                     86192 Console                    1      1,084 K
bash.exe                    162224 Console                    1         20 K
wsl.exe                      82200 Console                    1         20 K
vmcompute.exe                74724 Services                   0      2,276 K
vmwp.exe                     46056 Services                   0      6,724 K
vmmemWSL                     80780 Services                   0    114,384 K
dllhost.exe                   8180 Console                    1      1,008 K
dllhost.exe                  85452 Console                    1        408 K
wslrelay.exe                 73064 Console                    1         16 K
wslhost.exe                  87100 Console                    1         16 K
conhost.exe                  83284 Console                    1        324 K
msrdc.exe                    85160 Console                    1      7,004 K
wslhost.exe                  88088 Console                    1         16 K
